ISBN,Book Name,Author Name,Price
2814338152935,Captivating Romance,Liam Brown,21.67
3837889865212,Inspiring Mystery,Liam Johnson,13.24
2861155995324,Thrilling Mystery,William Brown,15.29
3604410163605,Intriguing Biography,Olivia Jones,26.03
0141592184925,Captivating Romance,Noah Smith,18.24
4549409027243,Captivating Romance,William Johnson,28.33
9487662375163,Inspiring Adventure,Ava Davis,14.12
9462748574967,Inspiring Mystery,Liam Smith,18.91
1192744349567,Intriguing Mystery,Ava Brown,22.24
7939085823031,Powerful Mystery,Olivia Johnson,20.84
0161657939775,Inspiring Adventure,Emma Williams,13.32
1411306005357,Inspiring Biography,Emma Jones,24.01
4632529315703,Intriguing Romance,William Johnson,19.37
6778937858296,Powerful Adventure,Olivia Williams,12.96
2694966195064,Inspiring Biography,Ava Smith,12.16
6558179502015,Powerful Fantasy,Liam Smith,29.16
5782437899042,Inspiring Romance,Ava Williams,19.25
3445989796477,Intriguing Mystery,Olivia Brown,20.91
4147811445899,Thrilling Fantasy,Ava Williams,10.85
4159046684406,Powerful Mystery,Liam Williams,24.1
2680402015276,Captivating Mystery,William Johnson,21.73
8044900288939,Captivating Fantasy,Emma Brown,15.61
9821376317782,Captivating Adventure,Ava Brown,21.17
3292098377700,Intriguing Biography,Ava Smith,16.76
2050516972208,Thrilling Mystery,Emma Davis,15.33
9081743297995,Thrilling Romance,Olivia Brown,13.75
8571563207432,Thrilling Biography,William Johnson,26.61
8058756856555,Captivating Adventure,Liam Brown,11.53
2049623965814,Thrilling Adventure,Liam Williams,24.11
5724388260623,Inspiring Romance,Olivia Jones,21.26
4881039436662,Intriguing Mystery,Liam Smith,27.54
1168534258920,Powerful Romance,Olivia Williams,16.05
7345844252664,Powerful Adventure,Noah Jones,11.65
3099752579627,Thrilling Adventure,Emma Williams,12.48
6605756868832,Captivating Biography,Emma Davis,18.01
4062056748315,Powerful Romance,Ava Davis,10.95
4069127522394,Inspiring Biography,Olivia Williams,20.04
2315104415772,Captivating Romance,Liam Davis,29.14
4083968327549,Captivating Adventure,Noah Brown,15.37
5847846514398,Thrilling Fantasy,William Brown,26.18
3214896470167,Inspiring Biography,Noah Brown,17.4
5335037095876,Thrilling Biography,Liam Williams,13.08
2316241573594,Inspiring Biography,Noah Jones,16.41
4743381041018,Thrilling Adventure,William Jones,11.78
5270450435107,Thrilling Biography,Emma Johnson,26.22
2906935987117,Inspiring Mystery,Ava Brown,29.74
5105391916359,Thrilling Fantasy,Olivia Davis,28.92
5525931696889,Inspiring Adventure,Noah Brown,16.34
8532410664201,Intriguing Adventure,Noah Jones,20.92
4861806192130,Thrilling Fantasy,William Williams,13.48
4861806192130,Thrilling Fantasy,William Williams,29.74